Site,Nest,DBH,Ht
TYE,TC,142,34
TYE,TC,155,33
TYE,TC,130,34
TYE,TC,126,34
TYE,TC,122,34
TYE,TC,106,34
TYE,TC,180,33
TYE,TC,157,34
TYE,TC,142,34
TYE,TC,127,41
TYE,TC,122,40
TYE,TC,142,40
TYE,TC,146,40
TYE,TC,152,40
TYE,TC,152,40
TYE,TC,153,40
TYE,TC,163,40
TYE,TC,173,40
TYE,TC,188,40
TYE,TC,76,41
TYE,TC,109,41
TYE,TC,117,37
TYE,TC,122,41
TYE,TC,216,39
TYE,TC,132,41
TYE,TC,133,41
TYE,TC,141,41
TYE,TC,150,41
TYE,TC,152,41
TYE,TC,175,41
TYE,TC,180,41
TYE,TC,99,42
TYE,TC,109,42
TYE,TC,110,42
TYE,TC,116,42
TYE,TC,117,42
TYE,TC,121,42
TYE,TC,114,41
TYE,TC,144,38
TYE,TC,172,37
TYE,TC,180,37
TYE,TC,183,37
TYE,TC,88,38
TYE,TC,102,38
TYE,TC,103,38
TYE,TC,122,38
TYE,TC,127,38
TYE,TC,127,38
TYE,TC,130,38
TYE,TC,135,38
TYE,TC,139,38
TYE,TC,141,38
TYE,TC,113,40
TYE,TC,123,39
TYE,TC,122,32
TYE,TC,203,39
TYE,TC,160,39
TYE,TC,142,39
TYE,TC,141,39
TYE,TC,141,38
TYE,TC,141,38
TYE,TC,114,39
TYE,TC,104,39
TYE,TC,219,38
TYE,TC,165,38
TYE,TC,149,38
TYE,TC,96,40
TYE,TC,137,39
TYE,TC,141,21
TYE,TC,155,18
TYE,TC,79,19
TYE,TC,105,19
TYE,TC,132,19
TYE,TC,85,20
TYE,TC,97,20
TYE,TC,109,21
TYE,TC,107,17
TYE,TC,82,22
TYE,TC,97,22
TYE,TC,102,22
TYE,TC,106,22
TYE,TC,125,22
TYE,TC,137,22
TYE,TC,91,23
TYE,TC,94,23
TYE,TC,99,23
TYE,TC,136,32
TYE,TC,99,20
TYE,TC,98,11
TYE,TC,91,24
TYE,TC,86,16
TYE,TC,146,28
TYE,TC,94,29
TYE,TC,94,29
TYE,TC,114,29
TYE,TC,122,29
TYE,TC,127,29
TYE,TC,130,29
TYE,TC,159,29
TYE,TC,196,29
TYE,TC,104,30
TYE,TC,121,30
TYE,TC,140,23
TYE,TC,130,30
TYE,TC,107,28
TYE,TC,145,30
TYE,TC,180,30
TYE,TC,197,30
TYE,TC,83,31
TYE,TC,110,31
TYE,TC,114,31
TYE,TC,120,31
TYE,TC,122,31
TYE,TC,124,31
TYE,TC,132,31
TYE,TC,193,31
