"N","Site","Nest","Tree","DBH","Stage","Ht","logDBH"
665,"COA","SC","PSME",142,1,59,4.95582705760126
667,"COA","PL","PSME",85,1,44,4.44265125649032
668,"COA","TC","PSME",127,2,38,4.84418708645859
669,"COA","TC","PSME",143,2,44,4.96284463025991
671,"COA","TC","PSME",170,2,54,5.13579843705026
672,"COA","TC","PSME",165,2,36,5.10594547390058
673,"COA","TC","PSME",86,2,16,4.45434729625351
674,"COA","TC","PSME",119,2,27,4.77912349311153
675,"COA","TC","PSME",109,2,21,4.69134788222914
676,"COA","TC","PSME",97,2,46,4.57471097850338
677,"COA","TC","PSME",101,2,41,4.61512051684126
678,"COA","TC","PSME",120,2,49,4.78749174278205
679,"COA","TC","PSME",235,2,58,5.45958551414416
683,"COA","SC","THPL",222,2,50,5.40267738187228
686,"COA","SC","THPL",179,2,48,5.18738580584075
687,"COA","SC","THPL",213,2,49,5.36129216570943
689,"COA","SC","ACMA",124,1,30,4.82028156560504
693,"COA","PL","PSME",186,2,58,5.2257466737132
694,"COA","TC","PSME",115,2,42,4.74493212836325
695,"COA","TC","PSME",163,2,47,5.09375020080676
700,"COA","SC","THPL",233,2,49,5.4510384535657
701,"COA","TC","THPL",205,2,50,5.32300997913841
703,"COA","TC","THPL",126,2,25,4.83628190695148
704,"COA","TC","PSME",225,2,48,5.41610040220442
705,"COA","TC","PSME",113,2,47,4.72738781871234
707,"COA","TC","PSME",209,2,56,5.34233425196481
708,"COA","TC","PSME",225,2,64,5.41610040220442
709,"COA","TC","PSME",200,2,55,5.29831736654804
710,"COA","TC","PSME",212,2,48,5.35658627467201
711,"COA","TC","PSME",206,2,59,5.32787616878958
713,"COA","TC","PSME",143,2,53,4.96284463025991
714,"COA","TC","PSME",238,2,49,5.47227067367148
715,"COA","TC","PSME",235,2,58,5.45958551414416
716,"COA","PL","PSME",151,2,37,5.01727983681492
717,"COA","TC","PSME",173,2,47,5.15329159449778
718,"COA","PL","PISI",120,1,52,4.78749174278205
719,"COA","PL","PISI",139,1,64,4.93447393313069
720,"COA","SC","THPL",145,2,35,4.97673374242057
721,"COA","TC","PSME",194,2,58,5.26785815906333
722,"COA","TC","PSME",179,2,45,5.18738580584075
723,"COA","PL","PSME",90,1,52,4.49980967033027
724,"COA","TC","PSME",211,2,63,5.35185813347607
725,"COA","TC","PSME",161,2,65,5.08140436498446
726,"COA","TC","PSME",167,2,53,5.11799381241676
728,"COA","SC","TSHE",126,1,54,4.83628190695148
729,"COA","TC","PSME",214,2,61,5.36597601502185
731,"COA","TC","PSME",136,2,56,4.91265488573605
733,"COA","TC","PSME",170,2,61,5.13579843705026
734,"COA","SC","PSME",176,2,40,5.17048399503815
735,"COA","TC","PSME",124,2,46,4.82028156560504
738,"COA","TC","PSME",138,2,64,4.92725368515721
739,"COA","TC","PSME",171,2,64,5.14166355650266
740,"COA","TC","PSME",141,2,53,4.94875989037817
743,"COA","SC","THPL",127,2,45,4.84418708645859
744,"COA","TC","PSME",156,2,50,5.04985600724954
745,"COA","TC","PSME",164,2,54,5.0998664278242
746,"COA","TC","PSME",248,2,54,5.51342874616498
747,"COA","TC","PSME",161,2,42,5.08140436498446
749,"COA","SC","PSME",186,2,60,5.2257466737132
750,"COA","TC","PSME",140,2,56,4.9416424226093
752,"COA","TC","PSME",172,2,47,5.14749447681345
753,"COA","TC","PSME",179,2,76,5.18738580584075
754,"COA","TC","PSME",194,2,60,5.26785815906333
755,"COA","TC","PSME",206,2,27,5.32787616878958
756,"COA","SC","PSME",183,2,53,5.20948615284142
757,"COA","TC","PSME",172,2,45,5.14749447681345
758,"COA","PL","THPL",135,1,49,4.90527477843843
759,"COA","TC","TSHE",95,2,36,4.55387689160054
760,"COA","TC","PSME",130,2,57,4.86753445045558
761,"COA","TC","PSME",154,2,49,5.03695260241363
762,"COA","SC","PSME",161,1,55,5.08140436498446
763,"COA","TC","PSME",233,2,63,5.4510384535657
764,"COA","SC","THPL",199,2,37,5.29330482472449
765,"COA","TC","PSME",152,2,54,5.02388052084628
766,"COA","TC","PSME",146,2,53,4.98360662170834
767,"COA","SC","PSME",196,2,48,5.27811465923052
768,"COA","TC","PSME",135,2,44,4.90527477843843
771,"COA","TC","PSME",145,2,50,4.97673374242057
772,"COA","TC","PSME",212,2,63,5.35658627467201
773,"COA","SC","PSME",166,1,56,5.11198778835654
775,"COA","TC","PSME",172,2,58,5.14749447681345
776,"COA","SC","PSME",169,2,49,5.12989871492307
777,"COA","SC","PSME",201,2,46,5.30330490805908
778,"COA","SC","ACMA",110,2,32,4.70048036579242
779,"COA","TC","PSME",179,2,60,5.18738580584075
780,"COA","SC","THPL",138,2,43,4.92725368515721
781,"COA","TC","PSME",102,2,22,4.62497281328427
782,"COA","TC","PSME",169,2,45,5.12989871492307
783,"COA","SC","PSME",167,2,45,5.11799381241676
786,"COA","SC","PSME",154,2,38,5.03695260241363
787,"KLA","SC","PSME",152,1,18,5.02388052084628
788,"KLA","SC","PSME",142,1,18,4.95582705760126
790,"KLA","TC","PSME",107,1,22,4.67282883446191
792,"KLA","TC","QUKE",91,1,23,4.51085950651685
793,"KLA","PL","PSME",76,1,23,4.33073334028633
794,"KLA","PL","PSME",73,1,23,4.29045944114839
796,"KLA","PL","PSME",107,1,24,4.67282883446191
797,"KLA","TC","PSME",130,1,25,4.86753445045558
799,"KLA","TC","PSME",157,1,25,5.05624580534831
800,"KLA","TC","PSME",146,1,26,4.98360662170834
801,"KLA","TC","PSME",122,1,26,4.80402104473326
802,"KLA","SC","PSME",122,1,26,4.80402104473326
803,"KLA","TC","PSME",173,1,26,5.15329159449778
804,"KLA","PL","ARME",90,1,26,4.49980967033027
806,"KLA","TC","PSME",109,1,27,4.69134788222914
809,"KLA","TC","PSME",100,1,29,4.60517018598809
810,"KLA","SC","PSME",137,1,29,4.91998092582813
812,"KLA","TC","PSME",165,1,30,5.10594547390058
813,"KLA","PL","PSME",95,1,30,4.55387689160054
814,"KLA","TC","PSME",162,1,30,5.08759633523238
815,"KLA","PL","PSME",86,1,30,4.45434729625351
816,"KLA","SC","PSME",99,1,30,4.59511985013459
817,"KLA","SC","PSME",135,1,30,4.90527477843843
818,"KLA","TC","PSME",130,1,30,4.86753445045558
819,"KLA","TC","PSME",132,1,30,4.88280192258637
820,"KLA","SC","PSME",112,1,30,4.71849887129509
821,"KLA","SC","PSME",147,1,30,4.99043258677874
822,"KLA","PL","PSME",74,1,30,4.30406509320417
824,"KLA","PL","CADE",92,1,31,4.52178857704904
825,"KLA","PL","PSME",89,1,31,4.48863636973214
826,"KLA","SC","PSME",84,1,31,4.43081679884331
827,"KLA","TC","PSME",87,1,31,4.46590811865458
828,"KLA","PL","CADE",124,1,32,4.82028156560504
829,"KLA","TC","PSME",129,1,32,4.85981240436167
830,"KLA","SC","PSME",122,1,32,4.80402104473326
831,"KLA","PL","PSME",79,1,33,4.36944785246702
832,"KLA","PL","PSME",107,1,34,4.67282883446191
833,"KLA","TC","PSME",122,1,34,4.80402104473326
834,"KLA","TC","PSME",112,1,34,4.71849887129509
835,"KLA","TC","PSME",157,1,34,5.05624580534831
836,"KLA","TC","PSME",145,1,34,4.97673374242057
837,"KLA","PL","PSME",152,1,34,5.02388052084628
838,"KLA","SC","PSME",109,1,34,4.69134788222914
839,"KLA","PL","PSME",128,1,34,4.85203026391962
840,"KLA","PL","PSME",86,1,35,4.45434729625351
841,"KLA","TC","PSME",116,1,35,4.75359019110636
842,"KLA","PL","PSME",97,1,36,4.57471097850338
844,"KLA","PL","PSME",89,1,36,4.48863636973214
845,"KLA","PL","PSME",89,1,36,4.48863636973214
846,"KLA","PL","PSME",97,1,36,4.57471097850338
847,"KLA","PL","PSME",81,1,36,4.39444915467244
848,"KLA","PL","PSME",100,1,36,4.60517018598809
849,"KLA","PL","PSME",119,1,37,4.77912349311153
850,"KLA","TC","PILA",175,1,37,5.16478597392351
851,"KLA","PL","PSME",140,1,37,4.9416424226093
853,"KLA","TC","PSME",103,1,37,4.63472898822964
854,"KLA","PL","PSME",91,1,37,4.51085950651685
855,"KLA","TC","PSME",114,1,37,4.7361984483945
856,"KLA","PL","PSME",117,1,37,4.76217393479776
857,"KLA","PL","CADE",114,1,37,4.7361984483945
858,"KLA","TC","PSME",132,1,37,4.88280192258637
859,"KLA","PL","PSME",74,1,37,4.30406509320417
860,"KLA","PL","PSME",99,1,37,4.59511985013459
861,"KLA","TC","PSME",191,1,37,5.25227342804663
862,"KLA","TC","PSME",138,1,38,4.92725368515721
863,"KLA","TC","PSME",122,1,38,4.80402104473326
864,"KLA","TC","PSME",114,1,39,4.7361984483945
865,"KLA","PL","PSME",86,1,39,4.45434729625351
867,"KLA","PL","PSME",106,1,40,4.66343909411207
868,"KLA","PL","PSME",81,1,40,4.39444915467244
869,"KLA","PL","PSME",87,1,40,4.46590811865458
870,"KLA","PL","PSME",109,1,40,4.69134788222914
871,"KLA","PL","PSME",100,1,40,4.60517018598809
872,"KLA","TC","PSME",124,1,40,4.82028156560504
873,"KLA","TC","PSME",122,1,40,4.80402104473326
874,"KLA","PL","PSME",79,1,40,4.36944785246702
875,"KLA","TC","PSME",165,1,40,5.10594547390058
876,"KLA","TC","PSME",90,1,40,4.49980967033027
877,"KLA","TC","PSME",119,1,40,4.77912349311153
878,"KLA","SC","PSME",94,1,40,4.54329478227
879,"KLA","PL","PSME",103,1,40,4.63472898822964
880,"KLA","TC","PSME",154,1,41,5.03695260241363
881,"KLA","PL","PSME",117,1,41,4.76217393479776
882,"KLA","PL","PSME",127,1,41,4.84418708645859
883,"KLA","PL","PSME",140,1,41,4.9416424226093
884,"KLA","PL","PSME",107,1,42,4.67282883446191
885,"KLA","PL","PSME",104,1,42,4.64439089914137
886,"KLA","PL","PSME",94,1,42,4.54329478227
887,"KLA","PL","PSME",109,1,42,4.69134788222914
888,"KLA","TC","PSME",102,1,43,4.62497281328427
889,"KLA","TC","PSME",137,1,43,4.91998092582813
890,"KLA","PL","PSME",76,1,43,4.33073334028633
891,"KLA","SC","PSME",132,1,43,4.88280192258637
892,"KLA","PL","PSME",102,1,43,4.62497281328427
893,"KLA","TC","PSME",152,1,43,5.02388052084628
894,"KLA","PL","PSME",117,1,43,4.76217393479776
895,"KLA","TC","PSME",116,1,43,4.75359019110636
896,"KLA","PL","PSME",93,1,44,4.53259949315326
897,"KLA","TC","PSME",99,1,44,4.59511985013459
898,"KLA","PL","PSME",130,1,44,4.86753445045558
899,"KLA","PL","PSME",124,1,44,4.82028156560504
900,"KLA","PL","PSME",84,1,44,4.43081679884331
901,"KLA","PL","PSME",137,1,44,4.91998092582813
903,"KLA","TC","PSME",141,1,44,4.94875989037817
904,"KLA","PL","PSME",117,1,45,4.76217393479776
905,"KLA","PL","PSME",98,1,45,4.58496747867057
906,"KLA","TC","PSME",130,1,46,4.86753445045558
907,"KLA","PL","PSME",104,1,46,4.64439089914137
908,"KLA","PL","PSME",117,1,46,4.76217393479776
909,"KLA","PL","PIPO",103,1,46,4.63472898822964
910,"KLA","PL","PSME",114,1,46,4.7361984483945
911,"KLA","PL","PSME",135,1,46,4.90527477843843
912,"KLA","PL","PSME",122,1,46,4.80402104473326
913,"KLA","PL","PSME",152,1,46,5.02388052084628
914,"KLA","TC","PSME",132,1,46,4.88280192258637
915,"KLA","PL","PSME",155,1,46,5.04342511691925
916,"KLA","PL","PSME",147,1,46,4.99043258677874
917,"KLA","PL","PSME",127,1,46,4.84418708645859
918,"KLA","PL","PSME",132,1,46,4.88280192258637
919,"KLA","PL","PSME",109,1,46,4.69134788222914
920,"KLA","PL","PSME",104,1,47,4.64439089914137
921,"KLA","PL","PSME",104,1,47,4.64439089914137
923,"KLA","TC","PSME",109,1,47,4.69134788222914
924,"KLA","SC","PSME",145,1,48,4.97673374242057
925,"KLA","PL","PSME",100,1,49,4.60517018598809
926,"KLA","TC","PSME",137,1,49,4.91998092582813
927,"KLA","PL","PSME",114,1,49,4.7361984483945
928,"KLA","PL","PSME",155,1,49,5.04342511691925
929,"KLA","PL","PSME",150,1,49,5.01063529409626
930,"KLA","SC","PSME",127,1,49,4.84418708645859
931,"KLA","SC","PSME",117,1,49,4.76217393479776
932,"KLA","PL","PSME",117,1,50,4.76217393479776
933,"KLA","PL","PSME",124,1,50,4.82028156560504
934,"KLA","PL","PSME",93,1,50,4.53259949315326
935,"KLA","PL","CADE",173,1,51,5.15329159449778
936,"KLA","PL","PSME",157,1,51,5.05624580534831
937,"KLA","PL","PSME",165,1,52,5.10594547390058
